Year,County,Hospital,OSHPDID,Surgery,# of Cases,Location 1
2007,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,OPENRYGB,2,"(33.83149, -118.29332)"
2007,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,VSG,,"(33.83149, -118.29332)"
2007,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,BPD,,"(34.03606, -118.30909)"
2007,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPBAND,1,"(34.03606, -118.30909)"
2007,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPRYGB,5,"(34.03606, -118.30909)"
2007,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,OPENRYGB,,"(34.03606, -118.30909)"
2007,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,VSG,,"(34.03606, -118.30909)"
2007,Los Angeles,Marina Del Rey Hospital,106190500,BPD,,"(33.98125, -118.43971)"
2007,Los Angeles,Marina Del Rey Hospital,106190500,LAPBAND,29,"(33.98125, -118.43971)"
2007,Los Angeles,Marina Del Rey Hospital,106190500,LAPRYGB,82,"(33.98125, -118.43971)"
2007,Los Angeles,Marina Del Rey Hospital,106190500,VSG,,"(33.98125, -118.43971)"
2007,Los Angeles,Methodist Hospital of Southern California,106190529,BPD,,"(34.13603, -118.03879)"
2007,Los Angeles,Methodist Hospital of Southern California,106190529,LAPBAND,10,"(34.13603, -118.03879)"
2007,Los Angeles,Methodist Hospital of Southern California,106190529,LAPRYGB,141,"(34.13603, -118.03879)"
2007,Los Angeles,Methodist Hospital of Southern California,106190529,OPENRYGB,3,"(34.13603, -118.03879)"
2007,Los Angeles,Methodist Hospital of Southern California,106190529,VSG,,"(34.13603, -118.03879)"
2007,Los Angeles,Northridge Hospital Medical Center,106190568,BPD,,"(34.22075, -118.53186)"
2007,Los Angeles,Northridge Hospital Medical Center,106190568,LAPBAND,6,"(34.22075, -118.53186)"
2007,Los Angeles,Northridge Hospital Medical Center,106190568,LAPRYGB,11,"(34.22075, -118.53186)"
2007,Los Angeles,Northridge Hospital Medical Center,106190568,OPENRYGB,4,"(34.22075, -118.53186)"
2007,Los Angeles,Northridge Hospital Medical Center,106190568,VSG,,"(34.22075, -118.53186)"
2007,Los Angeles,Olympia Medical Center,106190534,BPD,,"(34.05754, -118.36008)"
2007,Los Angeles,Olympia Medical Center,106190534,LAPBAND,20,"(34.05754, -118.36008)"
2007,Los Angeles,Olympia Medical Center,106190534,LAPRYGB,15,"(34.05754, -118.36008)"
2007,Los Angeles,Olympia Medical Center,106190534,OPENRYGB,,"(34.05754, -118.36008)"
2007,Los Angeles,Olympia Medical Center,106190534,VSG,1,"(34.05754, -118.36008)"
2007,Los Angeles,PIH Hospital – Downey,106190243,BPD,,"(33.93515, -118.13196)"
2007,Los Angeles,PIH Hospital – Downey,106190243,LAPBAND,3,"(33.93515, -118.13196)"
2007,Los Angeles,PIH Hospital – Downey,106190243,LAPRYGB,,"(33.93515, -118.13196)"
2007,Los Angeles,PIH Hospital – Downey,106190243,OPENRYGB,,"(33.93515, -118.13196)"
2007,Los Angeles,PIH Hospital – Downey,106190243,VSG,,"(33.93515, -118.13196)"
2007,Los Angeles,Temple Community Hospital,106190784,VSG,,"(34.07534, -118.28366)"
2007,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,BPD,,"(33.73798, -118.30557)"
2007,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPBAND,,"(33.73798, -118.30557)"
2007,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPRYGB,1,"(33.73798, -118.30557)"
2007,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,OPENRYGB,,"(33.73798, -118.30557)"
2007,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,VSG,,"(33.73798, -118.30557)"
2007,Los Angeles,Providence Saint Joseph Medical Center,106190758,BPD,,"(34.1559, -118.32711)"
2007,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPBAND,26,"(34.1559, -118.32711)"
2007,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPRYGB,138,"(34.1559, -118.32711)"
2007,Los Angeles,Providence Saint Joseph Medical Center,106190758,OPENRYGB,2,"(34.1559, -118.32711)"
2007,Los Angeles,Providence Saint Joseph Medical Center,106190758,VSG,1,"(34.1559, -118.32711)"
2007,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,BPD,,"(34.068889, -118.445)"
2007,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPBAND,,"(34.068889, -118.445)"
2007,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPRYGB,153,"(34.068889, -118.445)"
2007,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,OPENRYGB,,"(34.068889, -118.445)"
2007,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,VSG,11,"(34.068889, -118.445)"
2007,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,BPD,,"(33.7802376, -118.1866412)"
2007,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPBAND,6,"(33.7802376, -118.1866412)"
2007,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPRYGB,85,"(33.7802376, -118.1866412)"
2007,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,OPENRYGB,12,"(33.7802376, -118.1866412)"
2007,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,VSG,15,"(33.7802376, -118.1866412)"
2007,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,BPD,,"(34.06879, -118.26324)"
2007,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPBAND,14,"(34.06879, -118.26324)"
2007,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPRYGB,70,"(34.06879, -118.26324)"
2007,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,OPENRYGB,2,"(34.06879, -118.26324)"
2007,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,VSG,1,"(34.06879, -118.26324)"
2007,Los Angeles,Southern California Hospital At Culver City,106190110,BPD,,"(34.02328, -118.39724)"
2007,Los Angeles,Southern California Hospital At Culver City,106190110,LAPBAND,5,"(34.02328, -118.39724)"
2007,Los Angeles,Southern California Hospital At Culver City,106190110,LAPRYGB,15,"(34.02328, -118.39724)"
2007,Los Angeles,Southern California Hospital At Culver City,106190110,OPENRYGB,2,"(34.02328, -118.39724)"
2007,Los Angeles,Southern California Hospital At Culver City,106190110,VSG,,"(34.02328, -118.39724)"
2007,Los Angeles,Temple Community Hospital,106190784,BPD,,"(34.07534, -118.28366)"
2007,Los Angeles,Temple Community Hospital,106190784,LAPBAND,4,"(34.07534, -118.28366)"
2007,Los Angeles,Temple Community Hospital,106190784,LAPRYGB,24,"(34.07534, -118.28366)"
2007,Los Angeles,Temple Community Hospital,106190784,OPENRYGB,2,"(34.07534, -118.28366)"
2007,Sacramento,UC Davis Medical Center,106341006,LAPRYGB,251,"(38.55438, -121.45738)"
2007,Los Angeles,Torrance Memorial Medical Center,106190422,BPD,,"(33.81258, -118.34388)"
2007,Los Angeles,Torrance Memorial Medical Center,106190422,LAPBAND,54,"(33.81258, -118.34388)"
2007,Los Angeles,Torrance Memorial Medical Center,106190422,LAPRYGB,89,"(33.81258, -118.34388)"
2007,Los Angeles,Torrance Memorial Medical Center,106190422,OPENRYGB,21,"(33.81258, -118.34388)"
2007,Los Angeles,Torrance Memorial Medical Center,106190422,VSG,1,"(33.81258, -118.34388)"
2007,Los Angeles,West Hills Hospital and Medical Center,106190859,BPD,,"(34.20365, -118.6294)"
2007,Los Angeles,West Hills Hospital and Medical Center,106190859,LAPBAND,8,"(34.20365, -118.6294)"
2007,Los Angeles,West Hills Hospital and Medical Center,106190859,LAPRYGB,78,"(34.20365, -118.6294)"
2007,Los Angeles,West Hills Hospital and Medical Center,106190859,OPENRYGB,,"(34.20365, -118.6294)"
2007,Los Angeles,West Hills Hospital and Medical Center,106190859,VSG,,"(34.20365, -118.6294)"
2007,Mendocino,Ukiah Valley Medical Center,106231396,BPD,,"(39.1528, -123.20363)"
2007,Mendocino,Ukiah Valley Medical Center,106231396,LAPBAND,6,"(39.1528, -123.20363)"
2007,Mendocino,Ukiah Valley Medical Center,106231396,LAPRYGB,,"(39.1528, -123.20363)"
2007,Mendocino,Ukiah Valley Medical Center,106231396,OPENRYGB,,"(39.1528, -123.20363)"
2007,Mendocino,Ukiah Valley Medical Center,106231396,VSG,,"(39.1528, -123.20363)"
2007,Monterey,Community Hospital of The Monterey Peninsula,106270744,BPD,,"(36.59827, -121.92488)"
2007,Monterey,Community Hospital of The Monterey Peninsula,106270744,LAPBAND,30,"(36.59827, -121.92488)"
2007,Monterey,Community Hospital of The Monterey Peninsula,106270744,LAPRYGB,58,"(36.59827, -121.92488)"
2007,Monterey,Community Hospital of The Monterey Peninsula,106270744,OPENRYGB,,"(36.59827, -121.92488)"
2007,Monterey,Community Hospital of The Monterey Peninsula,106270744,VSG,,"(36.59827, -121.92488)"
2007,Nevada,Tahoe Forest Hospital,106291053,BPD,,"(39.3245579, -120.2014553)"
2007,Nevada,Tahoe Forest Hospital,106291053,LAPBAND,1,"(39.3245579, -120.2014553)"
2007,Nevada,Tahoe Forest Hospital,106291053,LAPRYGB,,"(39.3245579, -120.2014553)"
2007,Nevada,Tahoe Forest Hospital,106291053,OPENRYGB,,"(39.3245579, -120.2014553)"
2007,Nevada,Tahoe Forest Hospital,106291053,VSG,,"(39.3245579, -120.2014553)"
2007,Orange,Chapman Medical Center,106301140,BPD,1,"(33.78785, -117.82586)"
2007,Orange,Chapman Medical Center,106301140,LAPBAND,27,"(33.78785, -117.82586)"
2007,Orange,Chapman Medical Center,106301140,LAPRYGB,225,"(33.78785, -117.82586)"
2007,Orange,Chapman Medical Center,106301140,OPENRYGB,,"(33.78785, -117.82586)"
2007,Orange,Chapman Medical Center,106301140,VSG,4,"(33.78785, -117.82586)"
2007,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,BPD,,"(33.71546, -117.93694)"
2007,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,LAPBAND,30,"(33.71546, -117.93694)"
2007,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,LAPRYGB,185,"(33.71546, -117.93694)"
2007,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,OPENRYGB,9,"(33.71546, -117.93694)"
2007,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,VSG,11,"(33.71546, -117.93694)"
2007,Orange,Garden Grove Hospital and Medical Center,106301283,BPD,,"(33.7745089, -117.9130315)"
2007,Orange,Garden Grove Hospital and Medical Center,106301283,LAPBAND,2,"(33.7745089, -117.9130315)"
2007,Orange,Garden Grove Hospital and Medical Center,106301283,LAPRYGB,16,"(33.7745089, -117.9130315)"
2007,Orange,Garden Grove Hospital and Medical Center,106301283,OPENRYGB,,"(33.7745089, -117.9130315)"
2007,Orange,Garden Grove Hospital and Medical Center,106301283,VSG,1,"(33.7745089, -117.9130315)"
2008,Butte,Enloe Medical Center – Esplanade,106040962,LAPRYGB,93,"(39.74224, -121.84922)"
2007,Orange,Mission Hospital Laguna Beach,106301337,BPD,,"(33.4997391, -117.7422502)"
2007,Orange,Mission Hospital Laguna Beach,106301337,LAPBAND,,"(33.4997391, -117.7422502)"
2007,Orange,Mission Hospital Laguna Beach,106301337,LAPRYGB,64,"(33.4997391, -117.7422502)"
2007,Orange,Mission Hospital Laguna Beach,106301337,OPENRYGB,2,"(33.4997391, -117.7422502)"
2007,Orange,Mission Hospital Laguna Beach,106301337,VSG,,"(33.4997391, -117.7422502)"
2007,Orange,Orange Coast Memorial Medical Center,106300225,BPD,,"(33.70162, -117.95524)"
2007,Orange,Orange Coast Memorial Medical Center,106300225,LAPBAND,62,"(33.70162, -117.95524)"
2007,Orange,Orange Coast Memorial Medical Center,106300225,LAPRYGB,320,"(33.70162, -117.95524)"
2007,Orange,Orange Coast Memorial Medical Center,106300225,OPENRYGB,20,"(33.70162, -117.95524)"
2007,Orange,Orange Coast Memorial Medical Center,106300225,VSG,1,"(33.70162, -117.95524)"
2007,Orange,Saint Joseph Hospital – Orange,106301340,BPD,,"(33.7823, -117.86516)"
2007,Orange,Saint Joseph Hospital – Orange,106301340,LAPBAND,57,"(33.7823, -117.86516)"
2007,Orange,Saint Joseph Hospital – Orange,106301340,LAPRYGB,12,"(33.7823, -117.86516)"
2007,Orange,Saint Joseph Hospital – Orange,106301340,OPENRYGB,1,"(33.7823, -117.86516)"
2007,Orange,Saint Joseph Hospital – Orange,106301340,VSG,,"(33.7823, -117.86516)"
2007,Orange,UC Irvine Medical Center,106301279,BPD,,"(33.7889, -117.89064)"
2007,Orange,UC Irvine Medical Center,106301279,LAPBAND,73,"(33.7889, -117.89064)"
2007,Orange,UC Irvine Medical Center,106301279,LAPRYGB,42,"(33.7889, -117.89064)"
2007,Orange,UC Irvine Medical Center,106301279,OPENRYGB,,"(33.7889, -117.89064)"
2007,Orange,UC Irvine Medical Center,106301279,VSG,2,"(33.7889, -117.89064)"
2007,Placer,Sutter Auburn Faith Hospital,106310791,BPD,,"(38.94452, -121.0982)"
2007,Placer,Sutter Auburn Faith Hospital,106310791,LAPBAND,,"(38.94452, -121.0982)"
2007,Placer,Sutter Auburn Faith Hospital,106310791,LAPRYGB,23,"(38.94452, -121.0982)"
2007,Placer,Sutter Auburn Faith Hospital,106310791,OPENRYGB,2,"(38.94452, -121.0982)"
2007,Placer,Sutter Auburn Faith Hospital,106310791,VSG,,"(38.94452, -121.0982)"
2007,Placer,Sutter Roseville Medical Center,106311000,BPD,,"(38.76439, -121.25055)"
2007,Placer,Sutter Roseville Medical Center,106311000,LAPBAND,10,"(38.76439, -121.25055)"
2007,Placer,Sutter Roseville Medical Center,106311000,LAPRYGB,152,"(38.76439, -121.25055)"
2007,Placer,Sutter Roseville Medical Center,106311000,OPENRYGB,2,"(38.76439, -121.25055)"
2007,Placer,Sutter Roseville Medical Center,106311000,VSG,,"(38.76439, -121.25055)"
2007,Riverside,Desert Regional Medical Center,106331164,BPD,,"(33.83932, -116.54549)"
2007,Riverside,Desert Regional Medical Center,106331164,LAPBAND,32,"(33.83932, -116.54549)"
2007,Riverside,Desert Regional Medical Center,106331164,LAPRYGB,93,"(33.83932, -116.54549)"
2007,Riverside,Desert Regional Medical Center,106331164,OPENRYGB,,"(33.83932, -116.54549)"
2007,Riverside,Desert Regional Medical Center,106331164,VSG,,"(33.83932, -116.54549)"
2007,Riverside,Parkview Community Hospital Medical Center,106331293,BPD,,"(33.92573, -117.43996)"
2007,Riverside,Parkview Community Hospital Medical Center,106331293,LAPBAND,34,"(33.92573, -117.43996)"
2007,Riverside,Parkview Community Hospital Medical Center,106331293,LAPRYGB,81,"(33.92573, -117.43996)"
2007,Riverside,Parkview Community Hospital Medical Center,106331293,OPENRYGB,6,"(33.92573, -117.43996)"
2007,Riverside,Parkview Community Hospital Medical Center,106331293,VSG,,"(33.92573, -117.43996)"
2007,Riverside,San Gorgonio Memorial Hospital,106331326,BPD,,"(33.9295, -116.94678)"
2007,Riverside,San Gorgonio Memorial Hospital,106331326,LAPBAND,1,"(33.9295, -116.94678)"
2007,Riverside,San Gorgonio Memorial Hospital,106331326,LAPRYGB,,"(33.9295, -116.94678)"
2007,Riverside,San Gorgonio Memorial Hospital,106331326,OPENRYGB,,"(33.9295, -116.94678)"
2007,Riverside,San Gorgonio Memorial Hospital,106331326,VSG,,"(33.9295, -116.94678)"
2007,Riverside,Southwest Healthcare System – Murrieta,106334068,BPD,1,"(33.55788, -117.18488)"
2007,Riverside,Southwest Healthcare System – Murrieta,106334068,LAPBAND,4,"(33.55788, -117.18488)"
2007,Riverside,Southwest Healthcare System – Murrieta,106334068,LAPRYGB,434,"(33.55788, -117.18488)"
2007,Riverside,Southwest Healthcare System – Murrieta,106334068,OPENRYGB,4,"(33.55788, -117.18488)"
2007,San Diego,Pomerado Hospital,106370977,LAPBAND,9,"(32.99563, -117.05784)"
2007,Riverside,Southwest Healthcare System – Murrieta,106334068,VSG,,"(33.55788, -117.18488)"
2007,Sacramento,Mercy San Juan Hospital,106340950,BPD,,"(38.66818, -121.31261)"
2007,Sacramento,Mercy San Juan Hospital,106340950,LAPBAND,56,"(38.66818, -121.31261)"
2007,Sacramento,Mercy San Juan Hospital,106340950,LAPRYGB,99,"(38.66818, -121.31261)"
2007,Sacramento,Mercy San Juan Hospital,106340950,OPENRYGB,5,"(38.66818, -121.31261)"
2007,Sacramento,Mercy San Juan Hospital,106340950,VSG,,"(38.66818, -121.31261)"
2007,Sacramento,Methodist Hospital of Sacramento,106340951,BPD,,"(38.46416, -121.41744)"
2007,Sacramento,Methodist Hospital of Sacramento,106340951,LAPBAND,24,"(38.46416, -121.41744)"
2007,Sacramento,Methodist Hospital of Sacramento,106340951,LAPRYGB,51,"(38.46416, -121.41744)"
2007,Sacramento,Methodist Hospital of Sacramento,106340951,OPENRYGB,24,"(38.46416, -121.41744)"
2007,Sacramento,Methodist Hospital of Sacramento,106340951,VSG,,"(38.46416, -121.41744)"
2007,Sacramento,Sutter General Hospital,106341051,BPD,,"(38.57176, -121.47008)"
2007,Sacramento,Sutter General Hospital,106341051,LAPBAND,14,"(38.57176, -121.47008)"
2007,Sacramento,Sutter General Hospital,106341051,LAPRYGB,45,"(38.57176, -121.47008)"
2007,Sacramento,Sutter General Hospital,106341051,OPENRYGB,6,"(38.57176, -121.47008)"
2007,Sacramento,Sutter General Hospital,106341051,VSG,,"(38.57176, -121.47008)"
2007,Sacramento,UC Davis Medical Center,106341006,BPD,,"(38.55438, -121.45738)"
2007,Sacramento,UC Davis Medical Center,106341006,LAPBAND,13,"(38.55438, -121.45738)"
2007,Sacramento,UC Davis Medical Center,106341006,OPENRYGB,2,"(38.55438, -121.45738)"
2007,Sacramento,UC Davis Medical Center,106341006,VSG,,"(38.55438, -121.45738)"
2007,San Bernardino,Kindred Hospital – Rancho,106364188,BPD,,"(34.10461, -117.56601)"
2007,San Bernardino,Kindred Hospital – Rancho,106364188,LAPBAND,38,"(34.10461, -117.56601)"
2007,San Bernardino,Kindred Hospital – Rancho,106364188,LAPRYGB,6,"(34.10461, -117.56601)"
2007,San Bernardino,Kindred Hospital – Rancho,106364188,OPENRYGB,2,"(34.10461, -117.56601)"
2007,San Bernardino,Kindred Hospital – Rancho,106364188,VSG,,"(34.10461, -117.56601)"
2007,San Bernardino,Saint Bernardine Medical Center,106361339,BPD,1,"(34.1341, -117.27865)"
2007,San Bernardino,Saint Bernardine Medical Center,106361339,LAPBAND,59,"(34.1341, -117.27865)"
2007,San Bernardino,Saint Bernardine Medical Center,106361339,LAPRYGB,131,"(34.1341, -117.27865)"
2007,San Bernardino,Saint Bernardine Medical Center,106361339,OPENRYGB,10,"(34.1341, -117.27865)"
2007,San Bernardino,Saint Bernardine Medical Center,106361339,VSG,,"(34.1341, -117.27865)"
2007,San Diego,Alvarado Hospital,106370652,BPD,,"(32.77708, -117.05683)"
2007,San Diego,Alvarado Hospital,106370652,LAPBAND,18,"(32.77708, -117.05683)"
2007,San Diego,Alvarado Hospital,106370652,LAPRYGB,106,"(32.77708, -117.05683)"
2007,San Diego,Alvarado Hospital,106370652,OPENRYGB,2,"(32.77708, -117.05683)"
2007,San Diego,Alvarado Hospital,106370652,VSG,,"(32.77708, -117.05683)"
2007,San Diego,Pomerado Hospital,106370977,BPD,,"(32.99563, -117.05784)"
2007,San Diego,Pomerado Hospital,106370977,LAPRYGB,91,"(32.99563, -117.05784)"
2007,San Diego,Pomerado Hospital,106370977,OPENRYGB,6,"(32.99563, -117.05784)"
2007,San Diego,Pomerado Hospital,106370977,VSG,,"(32.99563, -117.05784)"
2007,San Diego,Scripps Green Hospital,106371256,BPD,,"(32.89654, -117.2419)"
2007,San Diego,Scripps Green Hospital,106371256,LAPBAND,88,"(32.89654, -117.2419)"
2007,San Diego,Scripps Green Hospital,106371256,LAPRYGB,38,"(32.89654, -117.2419)"
2007,San Diego,Scripps Green Hospital,106371256,OPENRYGB,,"(32.89654, -117.2419)"
2007,San Diego,Scripps Green Hospital,106371256,VSG,,"(32.89654, -117.2419)"
2007,San Diego,Scripps Memorial Hospital – La Jolla,106370771,BPD,,"(32.88506, -117.22279)"
2007,San Diego,Scripps Memorial Hospital – La Jolla,106370771,LAPBAND,11,"(32.88506, -117.22279)"
2007,San Diego,Scripps Memorial Hospital – La Jolla,106370771,LAPRYGB,84,"(32.88506, -117.22279)"
2007,San Diego,Scripps Memorial Hospital – La Jolla,106370771,OPENRYGB,1,"(32.88506, -117.22279)"
2007,San Diego,Scripps Memorial Hospital – La Jolla,106370771,VSG,1,"(32.88506, -117.22279)"
2007,San Diego,Scripps Mercy Hospital,106370744,BPD,,"(32.75128, -117.1609)"
2007,San Diego,Scripps Mercy Hospital,106370744,LAPBAND,5,"(32.75128, -117.1609)"
2007,San Diego,Scripps Mercy Hospital,106370744,LAPRYGB,756,"(32.75128, -117.1609)"
2007,San Diego,Scripps Mercy Hospital,106370744,OPENRYGB,49,"(32.75128, -117.1609)"
2007,San Diego,Scripps Mercy Hospital,106370744,VSG,,"(32.75128, -117.1609)"
2007,San Diego,Sharp Chula Vista Medical Center,106370875,BPD,,"(32.61909, -117.02488)"
2007,San Diego,Sharp Chula Vista Medical Center,106370875,LAPBAND,,"(32.61909, -117.02488)"
2007,San Diego,Sharp Chula Vista Medical Center,106370875,LAPRYGB,7,"(32.61909, -117.02488)"
2007,San Diego,Sharp Chula Vista Medical Center,106370875,OPENRYGB,1,"(32.61909, -117.02488)"
2007,San Diego,Sharp Chula Vista Medical Center,106370875,VSG,,"(32.61909, -117.02488)"
2007,San Diego,Sharp Memorial Hospital,106370694,BPD,,"(32.80016, -117.15531)"
2007,San Diego,Sharp Memorial Hospital,106370694,LAPBAND,15,"(32.80016, -117.15531)"
2007,San Diego,Sharp Memorial Hospital,106370694,LAPRYGB,119,"(32.80016, -117.15531)"
2007,San Diego,Sharp Memorial Hospital,106370694,OPENRYGB,2,"(32.80016, -117.15531)"
2007,San Diego,Sharp Memorial Hospital,106370694,VSG,,"(32.80016, -117.15531)"
2007,San Diego,UC San Diego Health System – Hillcrest Medical Center,106370782,BPD,,"(32.75387, -117.16498)"
2007,San Diego,UC San Diego Health System – Hillcrest Medical Center,106370782,LAPBAND,3,"(32.75387, -117.16498)"
2007,San Diego,UC San Diego Health System – Hillcrest Medical Center,106370782,LAPRYGB,,"(32.75387, -117.16498)"
2007,San Diego,UC San Diego Health System – Hillcrest Medical Center,106370782,OPENRYGB,,"(32.75387, -117.16498)"
2007,San Diego,UC San Diego Health System – Hillcrest Medical Center,106370782,VSG,2,"(32.75387, -117.16498)"
2007,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,BPD,15,"(37.79149, -122.43102)"
2007,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,LAPBAND,88,"(37.79149, -122.43102)"
2007,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,LAPRYGB,38,"(37.79149, -122.43102)"
2007,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,OPENRYGB,,"(37.79149, -122.43102)"
2007,San Francisco,California Pacific Medical Center – Pacific Campus,106380929,VSG,280,"(37.79149, -122.43102)"
2007,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,BPD,51,"(37.77408, -122.45441)"
2007,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,LAPBAND,,"(37.77408, -122.45441)"
2007,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,LAPRYGB,1,"(37.77408, -122.45441)"
2007,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,OPENRYGB,,"(37.77408, -122.45441)"
2007,San Francisco,"Saint Mary’s Medical Center, San Francisco",106380965,VSG,10,"(37.77408, -122.45441)"
2007,San Francisco,UC San Francisco Medical Center,106381154,BPD,1,"(37.7635148, -122.4576564)"
2007,San Francisco,UC San Francisco Medical Center,106381154,LAPBAND,71,"(37.7635148, -122.4576564)"
2007,San Francisco,UC San Francisco Medical Center,106381154,LAPRYGB,101,"(37.7635148, -122.4576564)"
2007,San Francisco,UC San Francisco Medical Center,106381154,OPENRYGB,5,"(37.7635148, -122.4576564)"
2007,San Francisco,UC San Francisco Medical Center,106381154,VSG,7,"(37.7635148, -122.4576564)"
2007,San Joaquin,Doctors Hospital of Manteca,106392287,BPD,,"(37.80118, -121.19818)"
2008,Butte,Enloe Medical Center – Esplanade,106040962,BPD,,"(39.74224, -121.84922)"
2007,San Joaquin,Doctors Hospital of Manteca,106392287,LAPBAND,,"(37.80118, -121.19818)"
2007,San Joaquin,Doctors Hospital of Manteca,106392287,LAPRYGB,5,"(37.80118, -121.19818)"
2007,San Joaquin,Doctors Hospital of Manteca,106392287,OPENRYGB,,"(37.80118, -121.19818)"
2007,San Joaquin,Doctors Hospital of Manteca,106392287,VSG,,"(37.80118, -121.19818)"
2007,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,BPD,,"(37.65806, -122.43837)"
2007,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,LAPBAND,91,"(37.65806, -122.43837)"
2007,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,LAPRYGB,340,"(37.65806, -122.43837)"
2007,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,OPENRYGB,1,"(37.65806, -122.43837)"
2007,San Mateo,Kaiser Foundation Hospital – South San Francisco,106410806,VSG,1,"(37.65806, -122.43837)"
2007,San Mateo,Peninsula Medical Center,106410852,BPD,,"(37.5944692, -122.3832465)"
2007,San Mateo,Peninsula Medical Center,106410852,LAPBAND,70,"(37.5944692, -122.3832465)"
2007,San Mateo,Peninsula Medical Center,106410852,LAPRYGB,88,"(37.5944692, -122.3832465)"
2007,San Mateo,Peninsula Medical Center,106410852,OPENRYGB,1,"(37.5944692, -122.3832465)"
2007,San Mateo,Peninsula Medical Center,106410852,VSG,22,"(37.5944692, -122.3832465)"
2007,San Mateo,Sequoia Hospital,106410891,BPD,,"(37.48129, -122.25377)"
2007,San Mateo,Sequoia Hospital,106410891,LAPBAND,,"(37.48129, -122.25377)"
2007,San Mateo,Sequoia Hospital,106410891,LAPRYGB,1,"(37.48129, -122.25377)"
2007,San Mateo,Sequoia Hospital,106410891,OPENRYGB,,"(37.48129, -122.25377)"
2007,San Mateo,Sequoia Hospital,106410891,VSG,2,"(37.48129, -122.25377)"
2007,Santa Barbara,Santa Barbara Cottage Hospital,106420514,BPD,,"(34.42943, -119.72318)"
2007,Santa Barbara,Santa Barbara Cottage Hospital,106420514,LAPBAND,6,"(34.42943, -119.72318)"
2012,Sonoma,Sonoma Valley Hospital,106491076,VSG,19,"(38.28841, -122.46524)"
2007,Santa Barbara,Santa Barbara Cottage Hospital,106420514,LAPRYGB,70,"(34.42943, -119.72318)"
2007,Santa Barbara,Santa Barbara Cottage Hospital,106420514,OPENRYGB,,"(34.42943, -119.72318)"
2007,Santa Barbara,Santa Barbara Cottage Hospital,106420514,VSG,,"(34.42943, -119.72318)"
2007,Santa Clara,El Camino Hospital,106430763,BPD,6,"(37.36779, -122.07801)"
2007,Santa Clara,El Camino Hospital,106430763,LAPBAND,46,"(37.36779, -122.07801)"
2007,Santa Clara,El Camino Hospital,106430763,LAPRYGB,105,"(37.36779, -122.07801)"
2007,Santa Clara,El Camino Hospital,106430763,OPENRYGB,9,"(37.36779, -122.07801)"
2007,Santa Clara,El Camino Hospital,106430763,VSG,3,"(37.36779, -122.07801)"
2007,Santa Clara,Good Samaritan Hospital – San Jose,106430779,BPD,4,"(37.25116, -121.9449)"
